Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
Afghanistan-Long-term strategy,Afghanistan,SAR,South Asia Region,Low income,Long-term strategy,Governance,LTS,No,,,0.0,
Afghanistan-Does the country include environmental criteria in procurement tenders? Give one example,Afghanistan,SAR,South Asia Region,Low income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,No,"The primary legal framework governing public procurement in Afghanistan is the ""Public Procurement Law of Afghanistan"" (enacted in 2016). This law does not include provisions for environmental criteria in procurement processes. 

Additionally, there are no specific policies or guidelines issued by the Afghan government that recommend the inclusion of environmental considerations in public procurement.

",,0.0,
Albania-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Albania,ECA,Europe and Central Asia,Upper-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"“The Government of Albania has established the Inter-Ministerial Working Group on Climate Change (IMWGCC), chaired by the Deputy Minister of Environment, with 15 members representing middle management of key line ministries. The overall aim of the IMWGCC is to coordinate all institutions involved in the CC mitigation and adaptation process and facilitate the integration of CC, in a coherent manner, into relevant new and existing policies, programmes and activities”.

Source : National Adaptation Plan to Climate Change.",https://unfccc.int/sites/default/files/resource/National_Adaptation_Plan_Albania.pdf,1.0,
Albania-Does the national government (or other body) publish climate risk information covering all local government units?,Albania,ECA,Europe and Central Asia,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"A Bulletin of Natural Hazards is published every day on the Institute of Geosciences (IGEO)’s website (the organization responsible for systematic observations according to the fourth National Communication on Climate Change). These bulletins include multi-risk (fires, floods, etc) maps. The risk levels for natural events like fires and floods are categorized into several levels from ""No Risk"" to ""High Risk,"" and the bulletin provides specific information for each district.

Note however that, according to the The Fourth National Communication of Albania on Climate Change (2022), “several types of constraints and gaps have been noted in the observation and monitoring system. It is critical to (…) upgrade and modernize hydro-meteorological observation networks, data management and forecasting systems, as well as providing sustainable organizational, human and technical resources to maintain and operate them. To support risk assessment and early warning systems, and promote operational monitoring, warning, forecasting and mapping of meteorological, hydrological and climate-related hazards, there is a need to establish and invest in fully operational 24/7 hydro-meteorological services (technical and human resources). It is also necessary to strengthen the early warning capacity with a multi-hazard approach and engender enhanced cooperation with the National Agency for Civil Protection and other key stakeholders”. 

https://cdn.climatepolicyradar.org/navigator/ALB/1900/albania-national-communication-nc-nc-4_b14d4c265d9f29aa1299f29cb2f1c9d3.pdf",https://www.geo.edu.al/About/,1.0,
Albania-Do fiscal risk statements identify climate change-related risks?,Albania,ECA,Europe and Central Asia,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,No fiscal risk statement found online.,,0.0,
Albania-Is climate change reflected in the budget guidelines?,Albania,ECA,Europe and Central Asia,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,No,"In Albania’s National Adaptation plan first progress report (2023), it is recommended to “integrate climate change in strategies, political documents, or sectoral action plans; and create specific institutional processes and guidelines, with the aim of integrating the priority measures of the NDC 2021–2030 and the national strategy for climate change and NAP in the medium-term budget planning process with key measurable indicators”.  

The 2024 budget does not seem to specifically mention or refer to climate change. 

However, no former budget speech, statement or guidelines could be found online.",https://napglobalnetwork.org/wp-content/uploads/2023/11/napgn-en-2023-albania-nap-progress-report.pdf; https://www.kryeministria.al/en/buxheti/,0.0,
Albania-Are climate-related expenditures identified in the budget and/or tracked?,Albania,ECA,Europe and Central Asia,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"According to this study of 2022, “Green budgeting in Albania”, “in the organic law of the state budget as well as in the annual budget laws, it has not been introduced so far, any budget program/product/economic code, with the title ""Green Budgeting"". (…)The study recommends a clear and enabling legal framework to support green practices at each entry point of the budget process”.",https://www.wfd.org/sites/default/files/2022-09/EN_Green-Budgeting-in-Albania_Final.pdf,0.0,
"Albania-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Albania,ECA,Europe and Central Asia,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"“The current project approval process carried out by the Regional Development Committee (Prime Minister Office) and the Ministry of Agriculture, Rural Development, Water Administration (MARDA) could include a requirement to demonstrate that climate change has been taken into consideration for investments in high risky areas (…). This can involve a simple qualitative project screening question for smaller programmes, or programmes that do not claim to be climate relevant. For larger climate relevant programmes, it should involve a more rigorous analysis. The introduction of improved climate analysis in project appraisal could be coordinated by the Regional Development Secretariat under PMO, with joint input from Ministry of Tourism and Environment (on climate issues) and MoF (on economic issues)”. 

Source : National Adaptation Plan to Climate Change. ",https://unfccc.int/sites/default/files/resource/National_Adaptation_Plan_Albania.pdf,0.0,
"Albania-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Albania,ECA,Europe and Central Asia,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,"Albania is not part of jurisdictions where the government or another authority has issued climate-related disclosure requirements that incorporate or draw from the TCFD recommendations. See 2023 TCFD Status Report : https://www.fsb.org/wp-content/uploads/P121023-2.pdf

No TCFD report published by an Albanese SOE could be found online. ",https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Albania-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Albania,ECA,Europe and Central Asia,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Partial,"a) No recent climate risk assessment at the subnational level found online. 

b) Tirana has developed its Green City Action Plan but it dates from 2018. 
https://ebrdgreencities.com/assets/Uploads/PDF/Tirana-GCAP.pdf

In addition, Local Adaptation Plans developed by a series of municipalities are in the process of being finalised. ""The objective is to raise awareness and understanding about the urgent need for climate adaptation in tackling the impacts of climate change, essential for sustaining the long-term development"". 
https://www.undp.org/albania/press-releases/municipalities-take-actions-against-climate-change",https://www.undp.org/albania/press-releases/municipalities-take-actions-against-climate-change,0.5,
Albania-Climate change framework law,Albania,ECA,Europe and Central Asia,Upper-middle income,Climate change framework law,Governance,CC law,Yes,Law no 155/2020 on climate change,,1.0,
Albania-National adaptation plan,Albania,ECA,Europe and Central Asia,Upper-middle income,National adaptation plan,Governance,NAP,Yes,"National Adaptation Planning (NAP)
to Climate Change in Albania",https://unfccc.int/sites/default/files/resource/National_Adaptation_Plan_Albania.pdf,1.0,
Albania-Long-term strategy,Albania,ECA,Europe and Central Asia,Upper-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Albania-Does the country include environmental criteria in procurement tenders? Give one example,Albania,ECA,Europe and Central Asia,Upper-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"Albania's Public Procurement Law No. 162/2020 includes references to environmental criteria in public procurement. Specifically, Article 36 addresses the use of technical specifications that can include environmental characteristics. This allows contracting authorities to include criteria such as the environmental impact of goods or services during their life cycle. Additionally, Article 37 mentions that procurement authorities may require specific environmental labels to ensure that products or services meet environmental standards.

However, these environmental provisions are not mandatory, meaning they are recommended but not compulsory. ",https://www.app.gov.al/legislation/public-procurement/law,0.5,
Algeria-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Algeria,MNA,Middle East and North Africa,Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The National Agency on Climate Change (ANCC) was created in 2005. It aims at « promoting the integration of climate change issues into all development plans » and « contributing to environment protection ».  It is notably in charge of “coordinating sectoral actions in the field of climate change and maintaining synergies with other environmental fields”. 

https://faolex.fao.org/docs/pdf/alg68434.pdf
",,1.0,
Algeria-Does the national government (or other body) publish climate risk information covering all local government units?,Algeria,MNA,Middle East and North Africa,Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Third National Communication of Algeria (2023) states that the National Office of Meterology developed an early warning system (Special Meterological Bulletins and vigilance maps). They are available here: https://www.meteo.dz/home. The Third National Communication also mentions the role of the Algerian Spatial Agency and its satellite resources in the field of meteorological observations and major risks such as floods, droughts, desertification, etc. 

https://unfccc.int/sites/default/files/resource/TCN_Algérie%20VF%2022102023%20rev%207.pdf
",,1.0,
Algeria-Do fiscal risk statements identify climate change-related risks?,Algeria,MNA,Middle East and North Africa,Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,"The High Committee to assess and alert on budgetary risks (HCRB) is in charge of publishing, at the end of each fiscal year, a fiscal risk statement describing budgetary risks and proposing mitigation measures for the next budget law. No fiscal risk statement was found on the Ministry of Finance’s website. As the HCR was settled in March 2023, it may not have published any fiscal risk statement yet. 

https://www.mf.gov.dz/index.php/fr/activites-2/1002-installation-du-haut-comite-d-evaluation-et-d-alerte-des-risques-budgetaires-hcrb
",,0.0,
Algeria-Is climate change reflected in the budget guidelines?,Algeria,MNA,Middle East and North Africa,Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,No,"The report presenting the draft finance law for 2024 and budgetary perspectives for 2025-2026 does not mention climate change among budget policy orientations. 

 https://dgpp.mf.gov.dz/wp-content/uploads/2023/11/RP_PLF-2024_FR_APN_VF.pdf
",,0.0,
Algeria-Are climate-related expenditures identified in the budget and/or tracked?,Algeria,MNA,Middle East and North Africa,Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"Climate change-related expenditures are not tagged in the budget 2024. 
https://dgpp.mf.gov.dz/wp-content/uploads/2023/11/RP_PLF-2024_FR_APN_VF.pdf
https://www.mf.gov.dz/images/pdf/loidefinance/FLFin.pdf",,0.0,
"Algeria-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Algeria,MNA,Middle East and North Africa,Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"“A climate-related forward-looking approach is needed for the appraisal and selection of public investment projects, both to lessen (these- risks and make sure that low-carbon and climate-resilient projects are undertaken”. 

Source : IMF Country Report, April 2024",https://www.imf.org/-/media/Files/Publications/CR/2024/English/1DZAEA2024002.ashx,0.0,
"Algeria-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Algeria,MNA,Middle East and North Africa,Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,"Algeria is not part of jurisdictions where the government or another authority has issued climate-related disclosure requirements that incorporate or draw from the TCFD recommendations (see 2023 TCFD Status Report). 

No TCFD report published by an Algerian SOE found online. ",https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Algeria-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Algeria,MNA,Middle East and North Africa,Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,"a)	No climate risk assessment found at the local level. 

b)	One of the main axis of the National Climate Plan (PNC, 2019) is “institutional and regulatory adaptation to integrate the climate dimension to national and sectoral policies and at the subnational level”. It planned on the elaboration of local adaptation plans for three pilot wilayas: M’Sila, El Bayadh, Sidi Bel Abbès. But these plans do not seem to have been completed  nor published yet. https://www.giz.de/en/downloads/PNC%20Rapport%2064%20pages_VF_2020.pdf
",,0.0,
Algeria-Climate change framework law,Algeria,MNA,Middle East and North Africa,Lower-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Algeria-National adaptation plan,Algeria,MNA,Middle East and North Africa,Lower-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Algeria-Long-term strategy,Algeria,MNA,Middle East and North Africa,Lower-middle income,Long-term strategy,Governance,LTS,No,Found a strategy from 2010 https://climate-laws.org/document/algeria-national-communication-nc-nc-2_26ba?q=green+public+procurement&r=middle-east-north-africa&sf=title&so=asc,,0.0,
Algeria-Does the country include environmental criteria in procurement tenders? Give one example,Algeria,MNA,Middle East and North Africa,Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"In Algeria, environmental criteria do exist within the public procurement framework, as outlined in the Public Procurement Law  (6 August 2023). Specifically, Articles 7 and 60 of the law specify that public tenders must consider environmental considerations, such as the preservation of the environment and the use of renewable energies. However, these are not specific mandatory requirements.",https://www.mf.gov.dz/images/pdf/reglementation/F2023051MarchFR.pdf,0.5,
Angola-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The National Committee on Climate Change and Biodiversity (NCCCB), created in 2012 under the then-Ministry of Environment, is responsible for harmonizing programs and policies for the implementation of climate and biodiversity legislation; creating the necessary conditions for the implementation of a National Climate Change Plan; creating a national plan for investments integrating climate change, biodiversity and desertification; and creating centers of excellence to carry out research on natural disasters and climate.",https://openknowledge.worldbank.org/server/api/core/bitstreams/b22cb94b-42e7-5800-846d-4d90435d3a9b/content,1.0,
Angola-Does the national government (or other body) publish climate risk information covering all local government units?,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,"The National Hydrometeorological Agency (INAMET) is mandated to monitor and predict climate risks, but no climate change risk data has been found.",http://www.inamet.gov.ao/en/,0.0,
Angola-Do fiscal risk statements identify climate change-related risks?,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,"The Guidelines of the Budget 2024 has an assessment of fiscal risks and their impact, including those related to natural disasters and climate change.",https://cms.minfin.gov.ao/api/assets/portal-minfin/b95da7f3-248b-448a-b4ec-d36e38d5b458/,1.0,
Angola-Is climate change reflected in the budget guidelines?,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,The Guidelines of the budget 2024 mention climate change adaptation.,https://cms.minfin.gov.ao/api/assets/portal-minfin/b95da7f3-248b-448a-b4ec-d36e38d5b458/,1.0,
Angola-Are climate-related expenditures identified in the budget and/or tracked?,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"The Budget 2024 has a program-based budget, which outlines the amount destined for the Climate Change program but does not include budget tagging.",https://cms.minfin.gov.ao/api/assets/portal-minfin/53f86b55-7b40-4727-8fc3-c68efc8f95ef/,0.0,
"Angola-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"CCDR: ""Angola’s Public Investment Management systems, policies, and practices also have yet to mainstream climate"". Recommendation: ""Make PIM in Angola climate-responsive and employ mandatory assessment of new investment projects in line with national climate priorities. For this, the establishment of a standardized system for project appraisal that clearly articulates criteria for determining a project’s expected return is
needed.""",https://openknowledge.worldbank.org/server/api/core/bitstreams/b22cb94b-42e7-5800-846d-4d90435d3a9b/content,0.0,
"Angola-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,Angola has no mandatory TCFD requirements. No SOE was found to publish TCFD reports.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Angola-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Could not find either at provincial or municipal level in Angola.,,0.0,
Angola-Climate change framework law,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Angola-National adaptation plan,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Angola-Long-term strategy,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Angola-Does the country include environmental criteria in procurement tenders? Give one example,Angola,AFRE,Sub-Saharan Africa (East),Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,Angola's Public Procurement Law No. 41/20 (2021) includes allows for environmental criteria to be considered in public procurement but does not mandate their application.,https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mduy/~edisp/minfin052628.pdf,0.5,
Antigua and Barbuda-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The Department of Environment is responsible for ""co-ordinate the development and implementation of government’s sustainable development, climate change, environment and natural resources management policies and activities. """,https://www.environment.gov.ag/assets/uploads/attachments/39d8c-environmental-protection-and-management-bill-2019-1-.pdf,1.0,
Antigua and Barbuda-Does the national government (or other body) publish climate risk information covering all local government units?,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Partial,The Caribbean Institute for Meteorology and Hydrology has an Advanced Flood Forecasting Project that includes Antigua only.,https://affp.cimh.edu.bb/,0.5,
Antigua and Barbuda-Do fiscal risk statements identify climate change-related risks?,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,"The risk tables by Ministry in the Budget Summary 2024 include climate-change related risks, including climate change-related fiscal risks for the Ministry of Finance.",https://ab.gov.ag/pdf/budget/2024_Budget_Summary.pdf,1.0,
Antigua and Barbuda-Is climate change reflected in the budget guidelines?,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,The Budget Statement 2024 mentions the need for climate action. The Priorities outlined in the Budget Summary 2024 include climate change mitigation and adaptation.,https://ab.gov.ag/pdf/budget/2024_Budget_Summary.pdf; https://ab.gov.ag/pdf/budget/2024_Budget_Statement.pdf,1.0,
Antigua and Barbuda-Are climate-related expenditures identified in the budget and/or tracked?,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,No evidence of CBT was found in the expenditure estimates for Antigua and for Barbuda.,https://ab.gov.ag/pdf/budget/2024_Barbuda_Estimates.pdf; https://ab.gov.ag/pdf/budget/2024_Antigua_Estimates.pdf,0.0,
"Antigua and Barbuda-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,No evidence of climate change in EIA legislation. Other screening not found.,https://laws.gov.ag/wp-content/uploads/2019/08/No.-10-of-2019-Environmental-Protection-and-Management-Bill-2019.pdf,0.0,
"Antigua and Barbuda-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory TCFD requirements. No SOEs have been found to publish reports with TCFD principles.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Antigua and Barbuda-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Neither was found.,,0.0,
Antigua and Barbuda-Climate change framework law,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Climate change framework law,Governance,CC law,No,,,0.0,
Antigua and Barbuda-National adaptation plan,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,National adaptation plan,Governance,NAP,No,,,0.0,
Antigua and Barbuda-Long-term strategy,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Long-term strategy,Governance,LTS,No,"There is a plan for 20230, but not found for 2050",,0.0,
Antigua and Barbuda-Does the country include environmental criteria in procurement tenders? Give one example,Antigua and Barbuda,LAC,Latin America and the Caribbean,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"Public procurement is primarily governed by the Tenders Board Act of 1991, which has been amended several times, including in 2000 and 2002. However, the act is limited in scope as it does not include specific objectives related to environmental sustainability or mandate the inclusion of environmental criteria in procurement decisions. 

While the country’s Medium-Term Development Strategy 2016-2020 emphasizes areas such as water resource management and sustainable development, these elements are not yet legally required in procurement practices. For example, the production of concrete blocks—a water-intensive process—is highlighted as an area where sustainable practices could be encouraged, but no mandatory legal provisions exist to enforce this",https://wedocs.unep.org/bitstream/handle/20.500.11822/36444/AntiBarSPPAP.pdf,0.5,
Arab Republic of Egypt-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Arab Republic of Egypt,MNA,Middle East and North Africa,Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"“The National Council on Climate Change (NCCC) headed by the prime minister is the main body responsible for climate change, ensuring enhanced coordination and integration of climate change aspect within the national plans and strategies.  (…) Although the NCCC is the main body responsible for climate change policy, policies are formulated and implemented by many ministries, leading to fragmentation and coordination difficulties. In May 2022, Egypt adopted the NCCS 2050 through Prime Ministerial Decree (No.1860 of 2022) and all concerned ministries are required to develop action plans in coordination with the NCCC”. (cf. CCDR, 2022).",,1.0,
Arab Republic of Egypt-Does the national government (or other body) publish climate risk information covering all local government units?,Arab Republic of Egypt,MNA,Middle East and North Africa,Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,"Among priority actions, the CCDR lists “to provide better information and increase awareness about climate change impacts for collective action”, which includes notably to “develop a comprehensive, multi-stakeholder disaster risk management plan (drought/flash flood)”, “strengthen information for preparedness through an integrated hydro-meteorological system” and “develop robust city-level early warning systems for floods (pluvial, coastal, and fluvial), heat waves, and other climate change impacts/natural disasters”. 

Also, the need to establish early warning systems for all sectors by developing a unified database is underlined in the Egypt National Climate Change Strategy 2050 (2022). 

https://cdn.climatepolicyradar.org/navigator/EGY/2022/egypt-national-climate-change-strategy-nccs-2050_5194e1cfe3cbca99042988f80ac7050d.pdf
",,0.0,
Arab Republic of Egypt-Do fiscal risk statements identify climate change-related risks?,Arab Republic of Egypt,MNA,Middle East and North Africa,Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,No,"The CCDR (2022) states that “climate change impacts and the fiscal impacts of climate change policies must be integrated in fiscal plans and budgets (including both capital and recurrent budget processes)”. That suggests that fiscal plans and budgets do not take climate change-related risks into account. 

According to the C-PIMA, the ""fiscal risk statement does not include climate impacts on infrastructure"". ",,0.0,
Arab Republic of Egypt-Is climate change reflected in the budget guidelines?,Arab Republic of Egypt,MNA,Middle East and North Africa,Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,No,"The MOF Program-Based Budgeting Manual does not mention climate change. 

https://mof.gov.eg/en/posts/releases/60a27508674bcf000b8d0bee/MOF%20Program-Based%20Budgeting%20Manual
",,0.0,
Arab Republic of Egypt-Are climate-related expenditures identified in the budget and/or tracked?,Arab Republic of Egypt,MNA,Middle East and North Africa,Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"The functional classification for the budget in Egypt includes a code for “Environmental protection» which includes the budgets of waste management, fighting pollution, and activities related to climate, soil, and groundwater. 

https://www.unicef.org/egypt/media/5861/file/Budget%20Transparency%20Series:%20A%20Guide%20to%20Egypt’s%20State%20Budget%20(English).pdf

But there is no actual climate change tagging system. A workshop was held in June 2023 in Cairo by the OECD to introduce green budgeting. 

https://www.oecd.org/mena/governance/eu-egypt/summary-workshop-gender-green-budgeting-20-21-June-2023.pdf 
",,0.0,
